kod,tabaka,probe,probe_alt,kanun,madde,gold,N_hucre,n_hucre,agirlik,tuzak
89,B_bayrakli,P5_capraz,P5_maddeshift,TBDY,4.4.4.2,YANLIS,40,24,1.666667,0
90,A_rastgele,P2_sayisal,P2_swap,TBDY,7.6.3.3,YANLIS,29,17,1.705882,0
92,B_bayrakli,P6_guncellik,P6_yil,4708,9,DOGRU,5,5,1.000000,0
96,A_rastgele,P3_anakronizm,P3_yil,6331,0,YANLIS,15,15,1.000000,0
98,A_rastgele,P2_sayisal,P2_swap,6331,25,YANLIS,29,17,1.705882,0
106,A_rastgele,P4_uydurma,P4_belge,ISGRISK,0,YANLIS,12,12,1.000000,0
109,B_bayrakli,P5_capraz,P5_maddeshift,TBDY,5.3.2.1,YANLIS,40,24,1.666667,0
110,B_bayrakli,P5_capraz,P5_lawshuffle,ISGRISK,5,YANLIS,40,24,1.666667,0
115,A_rastgele,P1_dogrudan,P1_madde_atifli,TBDY,17.2.4,DOGRU,153,22,6.954545,0
119,A_rastgele,P1_dogrudan,P1_verbatim,TBDY,16.4.1,DOGRU,153,22,6.954545,0
120,A_rastgele,P6_guncellik,P6_degismedi,YDUY,11,YANLIS,114,18,6.333333,0
122,A_rastgele,P1_dogrudan,P1_madde_atifli,TBDY,2.5.2.1,DOGRU,153,22,6.954545,0
123,A_rastgele,P5_capraz,P5_maddeshift,TBDY,7.2.1.4,YANLIS,81,16,5.062500,0
130,A_rastgele,P4_uydurma,P4_belge,YDUY,0,YANLIS,12,12,1.000000,0
135,A_rastgele,P6_guncellik,P6_yil,YDUY,11,DOGRU,114,18,6.333333,0
138,B_bayrakli,P5_capraz,P5_maddeshift,6331,8,YANLIS,40,24,1.666667,0
140,A_rastgele,P5_capraz,P5_maddeshift,TBDY,8.3.1.7,YANLIS,81,16,5.062500,0
144,A_rastgele,P2_sayisal,P2_swap,TBDY,4.5.3.2,YANLIS,29,17,1.705882,0
146,A_rastgele,P3_anakronizm,P3_yil_dogru,ISGRISK,0,DOGRU,15,15,1.000000,0
148,A_rastgele,P2_sayisal,P2_swap,TBDY,10.2.3.2,YANLIS,29,17,1.705882,0
159,A_rastgele,P2_sayisal,P2_swap,TBDY,2.1.2,YANLIS,29,17,1.705882,0
165,A_rastgele,P4_uydurma,P4_belge,4708,0,YANLIS,12,12,1.000000,0
168,A_rastgele,P5_capraz,P5_maddeshift,3194,29,YANLIS,81,16,5.062500,0
170,A_rastgele,P6_guncellik,P6_yil,YDUY,9,DOGRU,114,18,6.333333,0
174,B_bayrakli,P3_anakronizm,P3_yil,YDUY,0,YANLIS,4,4,1.000000,0
175,A_rastgele,P3_anakronizm,P3_yil_dogru,6331,0,DOGRU,15,15,1.000000,0
177,A_rastgele,P6_guncellik,P6_yil,YDUY,27,DOGRU,114,18,6.333333,0
180,B_bayrakli,P6_guncellik,P6_yil,4708,5,DOGRU,5,5,1.000000,0
182,B_bayrakli,P5_capraz,P5_maddeshift,TBDY,7.2.5.3,YANLIS,40,24,1.666667,0
183,A_rastgele,P2_sayisal,P2_swap,6331,25,YANLIS,29,17,1.705882,0
188,A_rastgele,P5_capraz,P5_maddeshift,3194,36,YANLIS,81,16,5.062500,0
189,A_rastgele,P2_sayisal,P2_swap,TBDY,2.1.2,YANLIS,29,17,1.705882,0
197,B_bayrakli,P5_capraz,P5_maddeshift,3194,28,YANLIS,40,24,1.666667,0
198,B_bayrakli,P6_guncellik,P6_yil,4708,12,DOGRU,5,5,1.000000,0
203,A_rastgele,P2_sayisal,P2_swap,TBDY,2.1.2,YANLIS,29,17,1.705882,0
209,A_rastgele,P1_dogrudan,P1_verbatim,ISGRISK,5,DOGRU,153,22,6.954545,0
210,A_rastgele,P3_anakronizm,P3_yil,ISGRISK,0,YANLIS,15,15,1.000000,0
211,B_bayrakli,P2_sayisal,P2_swap,TBDY,7.2.1.4,YANLIS,8,8,1.000000,0
213,B_bayrakli,P1_dogrudan,P1_madde_atifli,TBDY,16.12.2.8,DOGRU,10,8,1.250000,0
214,A_rastgele,P5_capraz,P5_maddeshift,3194,33,YANLIS,81,16,5.062500,0
219,B_bayrakli,P3_anakronizm,P3_yil,YDUY,0,YANLIS,4,4,1.000000,0
220,A_rastgele,P6_guncellik,P6_yil,3194,37,DOGRU,114,18,6.333333,0
225,A_rastgele,P1_dogrudan,P1_verbatim,YDUY,32,DOGRU,153,22,6.954545,0
226,B_bayrakli,P2_sayisal,P2_swap,YDUY,4,YANLIS,8,8,1.000000,0
227,A_rastgele,P6_guncellik,P6_yil,4708,4,DOGRU,114,18,6.333333,0
232,A_rastgele,P3_anakronizm,P3_yil_dogru,YDUY,0,DOGRU,15,15,1.000000,0
237,B_bayrakli,P2_sayisal,P2_swap,6331,14,YANLIS,8,8,1.000000,0
240,B_bayrakli,P5_capraz,P5_maddeshift,6331,25,YANLIS,40,24,1.666667,0
243,A_rastgele,P5_capraz,P5_maddeshift,TBDY,3.2.1,YANLIS,81,16,5.062500,0
249,A_rastgele,P3_anakronizm,P3_yil,4708,0,YANLIS,15,15,1.000000,0
252,B_bayrakli,P5_capraz,P5_maddeshift,3194,7,YANLIS,40,24,1.666667,0
253,A_rastgele,P5_capraz,P5_lawshuffle,6331,25,YANLIS,81,16,5.062500,0
259,A_rastgele,P3_anakronizm,P3_yil,4708,0,YANLIS,15,15,1.000000,0
260,A_rastgele,P3_anakronizm,P3_yil_dogru,TBDY,0,DOGRU,15,15,1.000000,0
264,A_rastgele,P4_uydurma,P4_belge,ISGRISK,0,YANLIS,12,12,1.000000,0
266,A_rastgele,P3_anakronizm,P3_yil,4708,0,YANLIS,15,15,1.000000,0
273,B_bayrakli,P1_dogrudan,P1_madde_atifli,TBDY,7.6.1.2,DOGRU,10,8,1.250000,0
278,A_rastgele,P1_dogrudan,P1_verbatim,TBDY,14.5,DOGRU,153,22,6.954545,0
280,A_rastgele,P5_capraz,P5_maddeshift,TBDY,15.2.4.2,YANLIS,81,16,5.062500,0
283,B_bayrakli,P5_capraz,P5_maddeshift,TBDY,12.4.2.9,YANLIS,40,24,1.666667,0
284,A_rastgele,P4_uydurma,P4_belge,6331,0,YANLIS,12,12,1.000000,0
285,B_bayrakli,P5_capraz,P5_lawshuffle,3194,30,YANLIS,40,24,1.666667,0
289,A_rastgele,P3_anakronizm,P3_yil,3194,0,YANLIS,15,15,1.000000,0
299,B_bayrakli,P5_capraz,P5_maddeshift,TBDY,11.2.12,YANLIS,40,24,1.666667,0
308,A_rastgele,P6_guncellik,P6_degismedi,YDUY,32,YANLIS,114,18,6.333333,0
310,B_bayrakli,P5_capraz,P5_maddeshift,TBDY,2.1.2,YANLIS,40,24,1.666667,0
312,B_bayrakli,P5_capraz,P5_maddeshift,TBDY,16.5.1.1,YANLIS,40,24,1.666667,0
314,B_bayrakli,P5_capraz,P5_maddeshift,YDUY,9,YANLIS,40,24,1.666667,0
315,A_rastgele,P1_dogrudan,P1_verbatim,TBDY,15.2.4.2,DOGRU,153,22,6.954545,0
317,B_bayrakli,P2_sayisal,P2_swap,TBDY,11.2.5,YANLIS,8,8,1.000000,0
321,A_rastgele,P2_sayisal,P2_swap,YDUY,23,YANLIS,29,17,1.705882,0
322,A_rastgele,P4_uydurma,P4_tbdy,TBDY,0,YANLIS,12,12,1.000000,0
327,A_rastgele,P3_anakronizm,P3_yil,YDUY,0,YANLIS,15,15,1.000000,0
328,A_rastgele,P1_dogrudan,P1_verbatim,3194,8,DOGRU,153,22,6.954545,0
331,A_rastgele,P4_uydurma,P4_tbdy,TBDY,0,YANLIS,12,12,1.000000,0
332,A_rastgele,P4_uydurma,P4_belge,ISGRISK,0,YANLIS,12,12,1.000000,0
339,A_rastgele,P5_capraz,P5_maddeshift,TBDY,4.5.3.2,YANLIS,81,16,5.062500,0
341,A_rastgele,P4_uydurma,P4_belge,3194,0,YANLIS,12,12,1.000000,0
343,A_rastgele,P2_sayisal,P2_swap,TBDY,15.2.5.3,YANLIS,29,17,1.705882,0
350,B_bayrakli,P5_capraz,P5_maddeshift,TBDY,7.2.5.3,YANLIS,40,24,1.666667,0
353,B_bayrakli,P1_dogrudan,P1_verbatim,TBDY,7.1.3,DOGRU,10,8,1.250000,0
355,A_rastgele,P5_capraz,P5_maddeshift,TBDY,4.3.4.2,YANLIS,81,16,5.062500,0
359,B_bayrakli,P5_capraz,P5_maddeshift,TBDY,15.2.7.3,YANLIS,40,24,1.666667,0
361,A_rastgele,P5_capraz,P5_maddeshift,TBDY,7.4.2.4,YANLIS,81,16,5.062500,0
364,A_rastgele,P1_dogrudan,P1_madde_atifli,TBDY,15.1,DOGRU,153,22,6.954545,0
365,B_bayrakli,P2_sayisal,P2_swap,YDUY,14,YANLIS,8,8,1.000000,0
367,B_bayrakli,P5_capraz,P5_lawshuffle,3194,36,YANLIS,40,24,1.666667,0
372,A_rastgele,P1_dogrudan,P1_verbatim,TBDY,7.6.2.2,DOGRU,153,22,6.954545,0
375,B_bayrakli,P5_capraz,P5_maddeshift,YDUY,4,YANLIS,40,24,1.666667,0
376,B_bayrakli,P1_dogrudan,P1_madde_atifli,3194,39,DOGRU,10,8,1.250000,0
381,A_rastgele,P1_dogrudan,P1_madde_atifli,TBDY,12.6.3,DOGRU,153,22,6.954545,0
384,B_bayrakli,P6_guncellik,P6_yil,4708,1,DOGRU,5,5,1.000000,0
385,A_rastgele,P6_guncellik,P6_degismedi,YDUY,2,YANLIS,114,18,6.333333,0
386,A_rastgele,P1_dogrudan,P1_verbatim,3194,8,DOGRU,153,22,6.954545,0
388,A_rastgele,P1_dogrudan,P1_verbatim,ISGRISK,17,DOGRU,153,22,6.954545,0
390,A_rastgele,P6_guncellik,P6_degismedi,3194,28,YANLIS,114,18,6.333333,0
405,B_bayrakli,P1_dogrudan,P1_madde_atifli,3194,8,DOGRU,10,8,1.250000,0
407,A_rastgele,P6_guncellik,P6_yil,3194,5,DOGRU,114,18,6.333333,0
409,B_bayrakli,P2_sayisal,P2_swap,TBDY,5.7,YANLIS,8,8,1.000000,0
417,B_bayrakli,P1_dogrudan,P1_verbatim,3194,23,DOGRU,10,8,1.250000,0
420,B_bayrakli,P5_capraz,P5_maddeshift,TBDY,7.2.7.1,YANLIS,40,24,1.666667,0
423,B_bayrakli,P3_anakronizm,P3_yil_dogru,4708,0,DOGRU,4,4,1.000000,0
427,B_bayrakli,P5_capraz,P5_maddeshift,3194,32,YANLIS,40,24,1.666667,0
431,A_rastgele,P5_capraz,P5_maddeshift,TBDY,2.5.2.1,YANLIS,81,16,5.062500,0
435,B_bayrakli,P2_sayisal,P2_swap,6331,8,YANLIS,8,8,1.000000,0
436,A_rastgele,P5_capraz,P5_lawshuffle,YDUY,14,YANLIS,81,16,5.062500,0
439,B_bayrakli,P5_capraz,P5_maddeshift,TBDY,7.13.2.1,YANLIS,40,24,1.666667,0
440,A_rastgele,P6_guncellik,P6_yil,YDUY,18,DOGRU,114,18,6.333333,0
441,A_rastgele,P6_guncellik,P6_yil,6331,3,DOGRU,114,18,6.333333,0
442,A_rastgele,P3_anakronizm,P3_yil,6331,0,YANLIS,15,15,1.000000,0
443,B_bayrakli,P3_anakronizm,P3_yil_dogru,3194,0,DOGRU,4,4,1.000000,0
445,A_rastgele,P2_sayisal,P2_swap,3194,36,YANLIS,29,17,1.705882,0
447,A_rastgele,P6_guncellik,P6_yil,3194,28,DOGRU,114,18,6.333333,0
453,B_bayrakli,P4_uydurma,P4_tbdy,TBDY,0,YANLIS,1,1,1.000000,0
455,A_rastgele,P2_sayisal,P2_swap,TBDY,14.5,YANLIS,29,17,1.705882,0
457,A_rastgele,P4_uydurma,P4_belge,4708,0,YANLIS,12,12,1.000000,0
461,A_rastgele,P6_guncellik,P6_yil,6331,38,DOGRU,114,18,6.333333,0
462,A_rastgele,P2_sayisal,P2_swap,TBDY,17.4.2.2,YANLIS,29,17,1.705882,0
463,A_rastgele,P1_dogrudan,P1_verbatim,TBDY,15.2.4.3,DOGRU,153,22,6.954545,0
466,A_rastgele,P6_guncellik,P6_degismedi,4708,1,YANLIS,114,18,6.333333,0
467,A_rastgele,P3_anakronizm,P3_yururluk,TBDY,0,DOGRU,15,15,1.000000,0
474,A_rastgele,P2_sayisal,P2_swap,YDUY,14,YANLIS,29,17,1.705882,0
475,B_bayrakli,P1_dogrudan,P1_verbatim,TBDY,4.3.4.2,DOGRU,10,8,1.250000,0
476,A_rastgele,P5_capraz,P5_maddeshift,TBDY,16.11.1,YANLIS,81,16,5.062500,0
478,A_rastgele,P3_anakronizm,P3_yil,3194,0,YANLIS,15,15,1.000000,0
480,A_rastgele,P2_sayisal,P2_swap,TBDY,17.2.4,YANLIS,29,17,1.705882,0
482,A_rastgele,P1_dogrudan,P1_madde_atifli,3194,10,DOGRU,153,22,6.954545,0
484,A_rastgele,P2_sayisal,P2_swap,3194,32,YANLIS,29,17,1.705882,0
485,A_rastgele,P1_dogrudan,P1_verbatim,TBDY,5.7,DOGRU,153,22,6.954545,0
T1,T_tuzak,P1_dogrudan,P1_madde_atifli,3194,22,YANLIS,0,0,0,1
T2,T_tuzak,P1_dogrudan,P1_verbatim,TBDY,12.4.2.9,YANLIS,0,0,0,1
T3,T_tuzak,P1_dogrudan,P1_madde_atifli,TBDY,17.9.3,YANLIS,0,0,0,1
T4,T_tuzak,P1_dogrudan,P1_madde_atifli,6331,14,YANLIS,0,0,0,1
T5,T_tuzak,P1_dogrudan,P1_madde_atifli,TBDY,11.4.2,YANLIS,0,0,0,1
T6,T_tuzak,P1_dogrudan,P1_madde_atifli,6331,25,YANLIS,0,0,0,1
T7,T_tuzak,P1_dogrudan,P1_madde_atifli,4708,9,YANLIS,0,0,0,1
T8,T_tuzak,P1_dogrudan,P1_verbatim,TBDY,15.2.11.3,YANLIS,0,0,0,1
